sample_id,round,bit_difference_pct
1,1,1.56
1,2,31.25
1,3,59.38
1,4,57.81
1,5,53.12
1,6,48.44
1,7,45.31
1,8,43.75
1,9,51.56
1,10,51.56
1,11,50.00
1,12,51.56
1,13,60.94
1,14,67.19
1,15,54.69
1,16,48.44
2,1,1.56
2,2,26.56
2,3,53.12
2,4,54.69
2,5,51.56
2,6,45.31
2,7,51.56
2,8,59.38
2,9,53.12
2,10,56.25
2,11,53.12
2,12,45.31
2,13,45.31
2,14,48.44
2,15,48.44
2,16,56.25
3,1,1.56
3,2,28.12
3,3,46.88
3,4,45.31
3,5,50.00
3,6,50.00
3,7,48.44
3,8,50.00
3,9,48.44
3,10,43.75
3,11,45.31
3,12,54.69
3,13,57.81
3,14,57.81
3,15,54.69
3,16,43.75
4,1,1.56
4,2,28.12
4,3,53.12
4,4,43.75
4,5,42.19
4,6,48.44
4,7,48.44
4,8,46.88
4,9,60.94
4,10,67.19
4,11,54.69
4,12,56.25
4,13,53.12
4,14,45.31
4,15,54.69
4,16,50.00
